case_id,Ta,Twa,Tb,Ts,Tt,Tad,theta,case_dir,will_pass_theta,single_script
20001,0.0206596516298032,0.4421020271834263,0.1311899234732347,1.1290142628742748,0.9764889131289148,0.6044189371152605,7.691357016092006,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20001,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20002,0.0279132306669986,0.2692091115797647,0.1040281226540551,1.076422933713005,0.5050488877475157,0.4996175426347347,-0.1838928418012209,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20002,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20003,0.0079244403219104,0.2068056721557945,0.0999610570921076,0.8843864829780307,0.7207301744552259,0.552515991569575,5.051829737702743,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20003,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20004,0.0168583881735947,0.4445921908726906,0.1126425051664173,1.4960266351252889,0.9448081596475044,0.6580863471262945,5.0185711468662415,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20004,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20005,0.0212263089741696,0.5945985656228308,0.108173737301707,0.545274167774606,1.1870201695471454,0.3155125513690911,-4.522235522046591,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20005,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20006,0.0150671269785288,0.5738486544629001,0.081104254216383,0.7107646948827135,0.8230042647987657,0.0833648792118671,2.1662635338281118,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20006,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20007,0.0119612882949568,0.5869707935217963,0.1024049378111458,0.8647487036442635,0.5157075777217036,0.3243195246645325,4.406568428637897,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20007,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20008,0.0303579228116938,0.4640588199331926,0.0878057978384648,0.872639953437504,0.7725674590147925,0.1754454706962895,9.028273575672078,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20008,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20009,0.0429103160771882,0.3438796064909241,0.1484597969534375,0.6789645807123684,1.1164910922075102,0.0702817362683988,-3.112814816371401,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20009,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20010,0.03644039365751,0.3854991326626533,0.1214855092251981,1.1584203546052096,0.6307613312788216,0.6101121070636891,3.669407209453235,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20010,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
20011,0.0190416476046456,0.3407985077443389,0.0830489878311838,0.848500099590904,1.014214478888971,0.558661016604618,-0.25614452616934,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\comsol_results_theta500_v2\case_20011,True,F:\pyProject\fipy_naca0012_2.0\七参数_几何掩码代理优化\02a_七参数COMSOL单工况求解.py
